vuosi;aluejakotunniste;aluejakoselite;lukumäärä;ka_pinta_ala_m2;mediaanihinta_eur;keskihinta_eur;rantatyyppi
1990;5;Alajärvi;3;2463;42047;39805;ranta
1990;562;Orivesi;13;5420;38683;41012;ranta
1990;564;Oulu;15;3822;43729;39524;ranta
1990;10;Alavus;9;2869;42047;45299;ranta
1990;309;Outokumpu;5;2380;34479;33806;ranta
1990;576;Padasjoki;12;4473;68957;79118;ranta
1990;16;Asikkala;17;3313;62230;74418;ranta
1990;578;Paltamo;3;3000;42047;35320;ranta
1990;18;Askola;3;2940;84094;77086;ranta
1990;580;Parikkala;7;5689;28592;30754;ranta
1990;581;Parkano;3;4800;34142;66042;ranta
1990;46;Enonkoski;6;3218;33638;36581;ranta
1990;47;Enontekiö;4;6700;20183;20813;ranta
1990;51;Eurajoki;11;2668;55502;61633;ranta
1990;322;Kemiönsaari;19;9080;67275;94106;ranta
1990;445;Parainen;59;6615;74003;78055;ranta
1990;593;Pieksämäki;25;3019;31115;35013;ranta
1990;595;Pielavesi;8;3806;29433;30926;ranta
1990;508;Mänttä-Vilppula;6;4505;50456;47163;ranta
1990;598;Pietarsaari;4;1448;38684;38473;ranta
1990;710;Raasepori;20;9797;117732;129295;ranta
1990;71;Haapavesi;3;2667;33638;29433;ranta
1990;790;Sastamala;15;3479;38683;47311;ranta
1990;601;Pihtipudas;8;2419;32208;34016;ranta
1990;604;Pirkkala;3;2993;42047;78488;ranta
1990;75;Hamina;4;4403;111004;118573;ranta
1990;607;Polvijärvi;9;3736;38683;38272;ranta
1990;77;Hankasalmi;10;3201;37843;37064;ranta
1990;609;Pori;19;3109;39524;42025;ranta
1990;638;Porvoo;7;7465;67275;111725;ranta
1990;81;Hartola;8;2791;38705;42473;ranta
1990;614;Posio;8;5958;37002;43140;ranta
1990;82;Hattula;5;3391;63070;65324;ranta
1990;615;Pudasjärvi;16;4490;26069;29256;ranta
1990;111;Heinola;17;3708;58866;57876;ranta
1990;620;Puolanka;10;3772;26069;30274;ranta
1990;90;Heinävesi;4;3325;43729;39945;ranta
1990;623;Puumala;15;5980;47093;56982;ranta
1990;624;Pyhtää;11;4761;75685;83611;ranta
1990;97;Hirvensalmi;25;6780;63070;61234;ranta
1990;626;Pyhäjärvi;7;4647;41711;45193;ranta
1990;98;Hollola;12;5069;66434;93260;ranta
1990;631;Pyhäranta;6;3325;75265;72741;ranta
1990;105;Hyrynsalmi;4;3560;22649;32085;ranta
1990;635;Pälkäne;18;5130;60968;73897;ranta
1990;108;Hämeenkyrö;4;1885;55670;57268;ranta
1990;109;Hämeenlinna;38;4024;52138;64580;ranta
1990;681;Rantasalmi;5;6012;39524;36161;ranta
1990;139;Ii;8;4734;38263;42993;ranta
1990;140;Iisalmi;5;4334;28424;30913;ranta
1990;142;Iitti;17;4065;57184;55007;ranta
1990;684;Rauma;9;4412;47093;62043;ranta
1990;143;Ikaalinen;21;3598;40365;46212;ranta
1990;686;Rautalampi;6;4002;43729;44486;ranta
1990;146;Ilomantsi;6;8333;43098;44079;ranta
1990;689;Rautjärvi;10;4691;33638;34865;ranta
1990;148;Inari;5;7130;52138;49904;ranta
1990;149;Inkoo;4;9375;209899;228147;ranta
1990;698;Rovaniemi;11;4649;27751;31023;ranta
1990;700;Ruokolahti;28;4625;42047;43897;ranta
1990;165;Janakkala;4;3025;58866;69378;ranta
1990;167;Joensuu;15;5193;31115;32853;ranta
1990;702;Ruovesi;9;3294;42047;40552;ranta
1990;171;Joroinen;9;3420;26069;33628;ranta
1990;172;Joutsa;14;4207;52391;54277;ranta
1990;707;Rääkkylä;6;5932;48876;46285;ranta
1990;729;Saarijärvi;8;4920;33638;37107;ranta
1990;176;Juuka;5;2462;40365;42215;ranta
1990;734;Salo;26;5532;59707;71205;ranta
1990;178;Juva;11;5895;42047;59809;ranta
1990;179;Jyväskylä;24;2702;33638;37466;ranta
1990;738;Sauvo;5;4118;35319;39120;ranta
1990;946;Vöyri;8;3618;40576;40334;ranta
1990;739;Savitaipale;12;3617;49195;49854;ranta
1990;182;Jämsä;15;6764;47093;46591;ranta
1990;740;Savonlinna;35;4211;34983;39089;ranta
1990;202;Kaarina;3;1933;97549;82412;ranta
1990;204;Kaavi;6;3913;32377;31115;ranta
1990;747;Siikainen;7;3671;25228;32136;ranta
1990;748;Siikajoki;4;5633;28172;27919;ranta
1990;205;Kajaani;13;5047;33638;49046;ranta
1990;749;Siilinjärvi;9;4429;47093;45504;ranta
1990;751;Simo;7;4362;31115;30034;ranta
1990;753;Sipoo;9;8834;201826;207432;ranta
1990;211;Kangasala;12;3913;58866;67387;ranta
1990;213;Kangasniemi;18;4009;42047;41673;ranta
1990;758;Sodankylä;3;6883;32797;44570;ranta
1990;214;Kankaanpää;4;4338;27583;35866;ranta
1990;216;Kannonkoski;3;3683;29433;35488;ranta
1990;761;Somero;5;3002;79217;83791;ranta
1990;762;Sonkajärvi;4;4788;28172;37212;ranta
1990;765;Sotkamo;5;5298;32628;31350;ranta
1990;768;Sulkava;11;4135;37001;46787;ranta
1990;226;Karstula;7;4900;26910;29673;ranta
1990;777;Suomussalmi;7;3210;31619;30490;ranta
1990;778;Suonenjoki;9;6161;23546;26172;ranta
1990;781;Sysmä;14;4781;51928;54968;ranta
1990;783;Säkylä;5;1932;95867;95867;ranta
1990;239;Keitele;3;2347;26069;30274;ranta
1990;831;Taipalsaari;20;2532;46084;53551;ranta
1990;832;Taivalkoski;4;7505;26069;26069;ranta
1990;320;Kemijärvi;4;8490;20183;39524;ranta
1990;834;Tammela;12;2639;67275;64892;ranta
1990;837;Tampere;22;3025;50036;58862;ranta
1990;249;Keuruu;7;2324;20183;38203;ranta
1990;250;Kihniö;4;3100;28172;27541;ranta
1990;848;Tohmajärvi;6;3177;46252;45523;ranta
1990;850;Toivakka;4;3363;36160;43645;ranta
1990;851;Tornio;5;3706;28592;28491;ranta
1990;853;Turku;19;4737;67275;75215;ranta
1990;257;Kirkkonummi;8;7675;159779;165896;ranta
1990;260;Kitee;17;4268;45411;54608;ranta
1990;857;Tuusniemi;5;3118;32797;37069;ranta
1990;261;Kittilä;8;7875;26910;31577;ranta
1990;263;Kiuruvesi;3;3500;16819;22873;ranta
1990;265;Kivijärvi;4;3164;50457;49616;ranta
1990;271;Kokemäki;3;5300;42047;39244;ranta
1990;272;Kokkola;8;3895;34479;33427;ranta
1990;887;Urjala;3;3410;25228;38683;ranta
1990;889;Utajärvi;7;4857;23714;26586;ranta
1990;273;Kolari;3;2290;81571;89981;ranta
1990;275;Konnevesi;5;5124;42047;45512;ranta
1990;276;Kontiolahti;12;4425;45411;51928;ranta
1990;892;Uurainen;5;2946;33638;34310;ranta
1990;895;Uusikaupunki;21;4721;61389;67876;ranta
1990;280;Korsnäs;5;4340;24387;44570;ranta
1990;785;Vaala;12;4011;33638;35572;ranta
1990;284;Koski;3;1700;33301;36889;ranta
1990;905;Vaasa;4;2979;33638;32376;ranta
1990;285;Kotka;4;4510;40786;41942;ranta
1990;908;Valkeakoski;7;3104;55502;58265;ranta
1990;286;Kouvola;39;4915;58866;64224;ranta
1990;287;Kristiinankaupunki;9;3398;50456;48774;ranta
1990;288;Kruunupyy;4;2275;31536;33848;ranta
1990;290;Kuhmo;9;5906;33638;36217;ranta
1990;291;Kuhmoinen;18;3270;47934;46495;ranta
1990;915;Varkaus;3;4983;47093;46532;ranta
1990;297;Kuopio;37;3707;33469;38738;ranta
1990;918;Vehmaa;6;6727;70975;65005;ranta
1990;922;Vesilahti;6;3553;46252;48326;ranta
1990;304;Kustavi;17;7332;100913;99721;ranta
1990;305;Kuusamo;23;5093;34899;50036;ranta
1990;935;Virolahti;8;4011;45831;46672;ranta
1990;936;Virrat;19;4921;55502;59862;ranta
1990;398;Lahti;12;3699;58866;70303;ranta
1990;400;Laitila;3;1667;58025;54101;ranta
1990;402;Lapinlahti;5;3080;31788;29904;ranta
1990;403;Lappajärvi;4;3900;43885;44227;ranta
1990;405;Lappeenranta;7;3094;31956;33277;ranta
1990;410;Laukaa;10;3450;37843;39608;ranta
1990;976;Ylitornio;6;4102;23126;23350;ranta
1990;416;Lemi;10;5452;37843;42535;ranta
1990;980;Ylöjärvi;21;5696;46252;52395;ranta
1990;417;Lemland;9;4739;50456;54241;ranta
1990;420;Leppävirta;21;3946;32797;33574;ranta
1990;992;Äänekoski;14;4920;42047;44221;ranta
1990;422;Lieksa;13;2904;25228;28223;ranta
1990;426;Liperi;18;3921;36581;37936;ranta
1990;444;Lohja;20;4245;69798;76437;ranta
1990;433;Loppi;17;4068;67275;82554;ranta
1990;434;Loviisa;7;6374;76526;92503;ranta
1990;436;Lumijoki;3;9063;35319;46812;ranta
1990;440;Luoto;5;2024;33638;35151;ranta
1990;441;Luumäki;13;3620;40365;45255;ranta
1990;475;Maalahti;8;4776;32166;31273;ranta
1990;481;Masku;5;3380;76526;75792;ranta
1990;484;Merikarvia;9;2961;33638;43990;ranta
1990;491;Mikkeli;74;5112;43729;48638;ranta
1990;499;Mustasaari;8;5671;41374;46399;ranta
1990;500;Muurame;3;2183;43729;40365;ranta
1990;505;Mäntsälä;4;4028;78208;86617;ranta
1990;507;Mäntyharju;29;5261;47093;54529;ranta
1990;529;Naantali;24;5152;81992;85497;ranta
1990;536;Nokia;17;2381;47093;45015;ranta
1990;541;Nurmes;6;3072;41627;42888;ranta
1990;545;Närpiö;12;4953;37043;44591;ranta
1991;562;Orivesi;7;2601;43729;38803;ranta
1991;10;Alavus;7;2722;36665;46684;ranta
1991;564;Oulu;18;3136;23429;27588;ranta
1991;309;Outokumpu;4;2760;38263;38515;ranta
1991;576;Padasjoki;8;3351;52138;58340;ranta
1991;16;Asikkala;15;4652;50456;76638;ranta
1991;578;Paltamo;4;4318;35320;33007;ranta
1991;580;Parikkala;8;3970;29013;32944;ranta
1991;599;Pedersören kunta;3;2337;28592;27190;ranta
1991;854;Pello;3;6108;25228;23939;ranta
1991;50;Eura;3;5610;79889;81010;ranta
1991;51;Eurajoki;8;4761;52139;49931;ranta
1991;52;Evijärvi;4;2750;17660;26280;ranta
1991;322;Kemiönsaari;9;10868;90821;116217;ranta
1991;593;Pieksämäki;12;4777;35740;43449;ranta
1991;445;Parainen;30;7588;76946;84225;ranta
1991;508;Mänttä-Vilppula;8;3716;46673;43203;ranta
1991;595;Pielavesi;6;3220;30274;32797;ranta
1991;65;Geta;3;4633;58866;91943;ranta
1991;710;Raasepori;9;7842;104277;118685;ranta
1991;601;Pihtipudas;8;4209;48354;47513;ranta
1991;790;Sastamala;14;3241;49447;50967;ranta
1991;72;Hailuoto;3;8000;30274;28312;ranta
1991;75;Hamina;10;4144;32377;61002;ranta
1991;607;Polvijärvi;5;4154;42047;39457;ranta
1991;77;Hankasalmi;3;2667;40365;32797;ranta
1991;609;Pori;13;3992;33469;35785;ranta
1991;81;Hartola;8;4858;40365;40531;ranta
1991;638;Porvoo;9;8331;84094;102557;ranta
1991;82;Hattula;5;3790;84094;67275;ranta
1991;614;Posio;8;7384;28592;33743;ranta
1991;615;Pudasjärvi;12;3905;26069;26858;ranta
1991;86;Hausjärvi;6;2748;59287;69938;ranta
1991;111;Heinola;20;5351;46673;56768;ranta
1991;620;Puolanka;3;3050;23546;21304;ranta
1991;90;Heinävesi;5;4870;28592;29937;ranta
1991;623;Puumala;13;5525;55502;60289;ranta
1991;624;Pyhtää;6;3680;54661;67976;ranta
1991;97;Hirvensalmi;10;2856;42047;40500;ranta
1991;98;Hollola;3;4033;58025;59987;ranta
1991;626;Pyhäjärvi;5;2540;43729;48102;ranta
1991;635;Pälkäne;7;4504;67275;59106;ranta
1991;108;Hämeenkyrö;8;3359;49615;49826;ranta
1991;681;Rantasalmi;7;3139;35319;36761;ranta
1991;109;Hämeenlinna;30;3146;45411;50197;ranta
1991;139;Ii;8;5408;27331;29580;ranta
1991;140;Iisalmi;6;4365;34059;39665;ranta
1991;684;Rauma;4;3100;44570;56764;ranta
1991;142;Iitti;5;2320;68957;62902;ranta
1991;143;Ikaalinen;13;4344;42047;50198;ranta
1991;689;Rautjärvi;7;2731;41206;34334;ranta
1991;146;Ilomantsi;3;9017;37842;32797;ranta
1991;691;Reisjärvi;3;2000;32797;33413;ranta
1991;148;Inari;4;9388;39525;42888;ranta
1991;149;Inkoo;4;9540;252282;389145;ranta
1991;698;Rovaniemi;15;4535;31788;32371;ranta
1991;700;Ruokolahti;18;3821;41206;54988;ranta
1991;165;Janakkala;4;3144;56343;55881;ranta
1991;167;Joensuu;17;5316;33638;37035;ranta
1991;702;Ruovesi;4;3393;44570;48354;ranta
1991;171;Joroinen;7;2964;41206;36040;ranta
1991;707;Rääkkylä;6;4788;46252;47373;ranta
1991;172;Joutsa;11;4297;42047;43821;ranta
1991;729;Saarijärvi;5;2010;26910;27415;ranta
1991;734;Salo;24;5351;58025;62888;ranta
1991;178;Juva;14;3789;36581;39356;ranta
1991;179;Jyväskylä;16;3428;40786;40796;ranta
1991;738;Sauvo;4;3071;48606;49111;ranta
1991;946;Vöyri;6;5360;39524;40786;ranta
1991;739;Savitaipale;8;3391;46252;46872;ranta
1991;740;Savonlinna;27;5078;37001;45597;ranta
1991;182;Jämsä;18;5565;39524;42748;ranta
1991;204;Kaavi;6;4653;25228;26518;ranta
1991;747;Siikainen;7;4711;35319;43248;ranta
1991;748;Siikajoki;4;10763;41206;39524;ranta
1991;205;Kajaani;4;5535;39524;49615;ranta
1991;749;Siilinjärvi;8;3933;25649;32061;ranta
1991;211;Kangasala;20;3289;50456;56150;ranta
1991;753;Sipoo;8;9451;89981;93029;ranta
1991;213;Kangasniemi;13;4652;38683;43910;ranta
1991;761;Somero;6;7680;40365;40926;ranta
1991;216;Kannonkoski;4;3650;33301;32629;ranta
1991;765;Sotkamo;5;8250;30274;39020;ranta
1991;226;Karstula;3;7333;42047;52699;ranta
1991;777;Suomussalmi;4;3200;31115;33638;ranta
1991;781;Sysmä;17;6509;63911;88595;ranta
1991;783;Säkylä;3;2233;60548;62230;ranta
1991;831;Taipalsaari;18;4107;50288;50983;ranta
1991;320;Kemijärvi;4;5753;40365;84893;ranta
1991;834;Tammela;11;4399;43729;45197;ranta
1991;837;Tampere;21;5625;70639;98854;ranta
1991;844;Tervo;4;5025;33218;30694;ranta
1991;249;Keuruu;5;3275;48774;42720;ranta
1991;848;Tohmajärvi;3;3233;33638;28872;ranta
1991;851;Tornio;3;2433;22705;22985;ranta
1991;257;Kirkkonummi;7;8410;67275;238106;ranta
1991;853;Turku;8;3675;99231;94070;ranta
1991;260;Kitee;12;5165;34479;36497;ranta
1991;857;Tuusniemi;6;2777;30274;35039;ranta
1991;263;Kiuruvesi;5;2300;21864;21292;ranta
1991;887;Urjala;9;4566;43729;46999;ranta
1991;272;Kokkola;5;2534;33638;39047;ranta
1991;275;Konnevesi;4;7450;29433;30905;ranta
1991;892;Uurainen;6;3323;39524;35039;ranta
1991;895;Uusikaupunki;9;7338;65089;67032;ranta
1991;785;Vaala;3;4383;31956;26966;ranta
1991;905;Vaasa;4;3718;44570;41627;ranta
1991;286;Kouvola;27;3384;50456;52352;ranta
1991;287;Kristiinankaupunki;5;2220;47597;50490;ranta
1991;290;Kuhmo;7;5000;25228;30346;ranta
1991;291;Kuhmoinen;12;5174;65594;71704;ranta
1991;915;Varkaus;7;3229;33469;34815;ranta
1991;297;Kuopio;34;4709;34479;36408;ranta
1991;300;Kuortane;4;2730;41879;50373;ranta
1991;921;Vesanto;7;5191;20183;29020;ranta
1991;922;Vesilahti;5;3136;58025;50456;ranta
1991;304;Kustavi;18;5638;80899;80805;ranta
